,lien,interne/externe,body
0,https://www.facebook.com/recover/initiate/?ars=facebook_login,externe,
1,https://www.unista.fr/r.php?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F&locale=en_US&display=page,interne,"<body class=""layoutLeftContentRight pageAccueil"">
<div id=""windowHeight""></div>
<div id=""skrollr-body"">
<div id=""page"">
<div id=""pageLayer""></div>
<header role=""banner"">
<div id=""headerInner"">
<div id=""logo""><a class=""LinkIn"" href=""/"" hreflang=""fr"" title=""Unista, trait d'union entre la machine et vous""><span>Unista, trait d'union entre la machine et vous</span></a></div>
<div id=""headerBoxes""><div class=""widget widgetText widgetCommunities"">
<div class=""widgetTitle""><span>Réseaux sociaux</span></div>
<div class=""widgetContainer""><p><a class=""LinkOut"" href=""https://www.facebook.com/unista.france/"" target=""_blank""><img alt=""Facebook"" src=""/media/facebook__033425000_1551_25082016.png""/></a> <a class=""LinkOut"" href=""https://www.linkedin.com/company/unista/"" target=""_blank""><img alt=""Linkedin"" src=""/media/linkedin__097889900_1426_08032018.png""/></a> <a class=""LinkOut"" href=""https://www.viadeo.com/fr/company/unista"" target=""_blank""><img alt=""Viadeo"" src=""/media/viadeo__086784200_1428_08032018.png""/></a> <a class=""LinkOut"" href=""https://www.xing.com/companies/unista"" target=""_blank""><img alt=""Xing"" src=""/media/xing__097417700_1437_08032018.png""/></a> <a class=""LinkOut"" href=""https://www.youtube.com/channel/UC-kF5ZDlheTAs_4SA7Xd2RA"" target=""_blank""><img alt=""YouTube"" src=""/media/youtube__051293000_1437_08032018.png""/></a></p>
</div>
<div class=""widgetFooter""></div>
</div><div class=""widget widgetText widgetTelephone"">
<div class=""widgetTitle""><span>Nous contacter</span></div>
<div class=""widgetContainer""><p>02 51 41 03 40</p>
</div>
<div class=""widgetFooter""></div>
</div><div class=""widget widgetText widgetProcesses"">
<div class=""widgetTitle""><span>Procédés</span></div>
<div class=""widgetContainer""><p><a class=""LinkIn"" href=""/conditionnement-robotisee/"" hreflang=""fr"" title=""Ligne robotisée""><img alt=""Ligne de conditionnement robotisée"" src=""/media/processes1_mini__087626600_1627_08112016.png""/> Ligne robotisée</a></p>
<p><a class=""LinkIn"" href=""/equipements-sur-mesure/"" hreflang=""fr"" title=""Équipements sur mesure""><img alt=""Equipements sur mesure"" src=""/media/processes2_mini__095423900_1627_08112016.png""/> Équipements sur mesure</a></p>
<p><a class=""LinkIn"" href=""/accompagnement/"" hreflang=""fr"" title=""Accompagnement""><img alt=""Accompagnement"" src=""/media/processes3_mini__022687200_1626_08112016.png""/> Accompagnement</a></p>
</div>
<div class=""widgetFooter""></div>
</div><div class=""widget widgetText widgetLanguages"">
<div class=""widgetTitle""><span>Langues</span></div>
<div class=""widgetContainer""><ul>
<li style=""background: url(https://www.unista.fr/images/flags/flag_fr.png) no-repeat; width: 24px; height: 24px;""><span id=""fr""><a href=""/fr/"" hreflang=""fr"" title=""Français""> </a></span></li>
<li style=""background: url(https://www.unista.fr/images/flags/flag_en.png) no-repeat; width: 24px; height: 24px;""><span id=""fr""><a href=""/en/"" hreflang=""en"" title=""English"">  </a></span></li>
<li style=""background: url(https://www.unista.fr/images/flags/flag_de.png) no-repeat; width: 24px; height: 24px;""><span id=""fr""><a href=""/de/"" hreflang=""de"" title=""Deutsch""> </a></span></li>
<li style=""background: url(https://www.unista.fr/images/flags/flag_it.png) no-repeat; width: 24px; height: 24px;""><span id=""fr""><a href=""/it/"" hreflang=""it"" title=""Italiano""> </a></span></li>
<li style=""background: url(https://www.unista.fr/images/flags/flag_es.png) no-repeat; width: 24px; height: 24px;""><span id=""fr""><a href=""/es/"" hreflang=""es"" title=""Español""> </a></span></li>
<li style=""background: url(https://www.unista.fr/images/flags/flag_ru.png) no-repeat; width: 24px; height: 24px;""><span id=""fr""><a href=""/ru/"" hreflang=""ru"" title=""Русский""> </a></span></li>
</ul>
</div>
<div class=""widgetFooter""></div>
</div></div>
<div id=""headerBg""></div>
</div>
<div id=""menuButton""><span>Menu</span></div><nav id=""nested"" role=""navigation"">
<div class=""menuTitle""><span></span>Menu</div>
<ul class=""firstLevel"">
<li class=""defaultmenu ligne_de_conditionnement_robotisee"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/"" title=""Ligne de conditionnement robotisée""><span>Ligne de conditionnement robotisée</span></a>
<div class=""arrow""></div>
<ul class=""secondLevel"">
<li class=""defaultmenu redresseur"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/produits-en-vrac/""><span>Distribution des produits en vrac</span></a>
</li>
<li class=""defaultmenu distribution_de_produits_ranges"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/distribution-de-produits-ranges/""><span>Distribution de produits rangés</span></a>
</li>
<li class=""defaultmenu machine_de_bouchage"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/machine-de-bouchage/""><span>Machine de bouchage</span></a>
</li>
<li class=""defaultmenu degotiseur"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/degotiseur/""><span>Dégotiseur</span></a>
</li>
<li class=""defaultmenu encaissage_et_palettisation"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/encaissage-et-palettisation/""><span>Encaissage et palettisation</span></a>
</li>
<li class=""defaultmenu ligne_flexible"">
<a class=""LinkIn"" href=""/conditionnement-robotisee/ligne-de-conditionnement-flexible/""><span>Ligne de conditionnement flexible</span></a>
</li>
</ul>
</li>
<li class=""defaultmenu equipements_sur_mesure"">
<a class=""LinkIn"" href=""/equipements-sur-mesure/"" title=""Équipements sur mesure""><span>Équipements sur mesure</span></a>
<div class=""arrow""></div>
<ul class=""secondLevel"">
<li class=""defaultmenu encollage_ligettes"">
<a class=""LinkIn"" href=""/equipements-sur-mesure/machine-d-encollage/""><span>Machine d'encollage</span></a>
</li>
<li class=""defaultmenu perceuse_numerique"">
<a class=""LinkIn"" href=""/equipements-sur-mesure/etuyeuse/""><span>Etuyeuse</span></a>
</li>
<li class=""defaultmenu devracage_ampoules"">
<a class=""LinkIn"" href=""/equipements-sur-mesure/manipulateur-de-sachets-robotise/""><span>Manipulateur de sachets robotisé</span></a>
</li>
<li class=""defaultmenu prehenseur_palette"">
<a class=""LinkIn"" href=""/equipements-sur-mesure/applicateur-de-couvercles-robotise/""><span>Applicateur de couvercles robotisé</span></a>
</li>
<li class=""defaultmenu autres_realisations"">
<a class=""LinkIn"" href=""/equipements-sur-mesure/alimentation-blister/""><span>Alimentation blister</span></a>
</li>
</ul>
</li>
<li class=""defaultmenu accompagnement"">
<a class=""LinkIn"" href=""/accompagnement/"" title=""Accompagnement""><span>Accompagnement</span></a>
</li>
<li class=""defaultmenu menuContact"">
<a class=""LinkIn"" href=""/nous-contacter/"" title=""Nous contacter""><span>Nous contacter</span></a>
</li>
<li class=""defaultmenu blog"">
<a class=""LinkIn"" href=""/blog/"" title=""Blog""><span>Blog</span></a>
</li>
<li class=""defaultmenu mentions_legales"">
<a class=""LinkIn"" href=""/mentions-legales/"" title=""Mentions légales""><span>Mentions légales</span></a>
</li>
</ul>
</nav>
</header>
<div id=""chapterPicture""><div id=""chapterPictureInner""><script src=""/scripts/superslides/jquery.superslides.min.js""></script>
<link href=""/scripts/superslides/superslides.css"" rel=""stylesheet"" type=""text/css"">
<div id=""headerslider"">
<ul class=""slides-container"">
<li><img alt=""Bannière 1"" src=""/media/banner1__035664100_1047_03112016.jpg""/>
</li>
<li><img alt=""Bannière 1"" src=""/media/banner1__035664100_1047_03112016.jpg""/>
</li>
</ul>
</div>
<script>
  function AdjustHomesliderHeight()
  {
    //alert($('#windowHeight').height());
    //alert($('#chapterPicture').height());
    //$('#chapterPicture').css('min-height')
    if ($('#windowHeight').height() < $('#chapterPicture').height()) alert('');
  }
  
  $(document).ready(function()
  {
    $('#chapterPicture #chapterPictureInner').attr('id', '');
    //AdjustHomesliderHeight();
    //if ($('#windowHeight').height() < $('#chapterPicture').height()) $('#windowHeight').height() = $('#chapterPicture').height();
    $('#headerslider').superslides(
    {
      play: 6000,
      animation: 'fade',
      animation_speed: 1500,
      hashchange: false,
      inherit_height_from: '#windowHeight',
      pagination: false
    });
    $('#headerslider .slides-down').click(function()
    {
      //if ($('header #nested .smart-menu').css('display') == 'none') var scrollHeight = $(""#wrapper"").offset().top - $(""#headerInner"").height();
      //else var scrollHeight = $(""#wrapper"").offset().top;
      scrollHeight = $(""#wrapper"").offset().top;
      $('html, body').animate({ scrollTop: scrollHeight }, 1000);
    });
  });
</script>
</link></div></div>
<div id=""wrapper"">
<div id=""wrapperInner"">
<main id=""container"" role=""main"">
<div id=""contents"">
<div id=""contentsInner"">
<div id=""breadcrumb"">
<div id=""breadcrumbInner"">
<span class=""breadcrumbNavigation"">
<span><a class=""LinkIn"" href=""/"" lang=""fr"" title=""Accueil""><span>Accueil</span></a></span>
</span>
</div>
</div>
<article><div id=""article"">
<div id=""text""><div id=""pageAccueil"">
<script src=""/scripts/scripts_home.js""></script>
<section id=""homeTop"">
<div class=""sectionInner"">
<div id=""homeLogo""><h1><a class=""LinkIn"" href=""/"" hreflang=""fr"" title=""Unista, trait d'union entre la machine et vous"">Unista, trait d'union entre la machine et vous</a></h1></div>
<div class=""picture""></div>
<div class=""text""><p>L'automatisation, aboutissement de l'intelligence.<br/>
<strong>La robotique qui vous surprendra.</strong></p>
</div>
<div id=""scrollDown""></div>
</div>
<div class=""overline"" id=""overline2""></div>
<div class=""overline"" data-1000-center=""margin-top: 0px;"" data-500-center=""margin-top: -1000px;"" data-end=""margin-top: -1000px;"" data-start=""margin-top: 0px;"" id=""overline3""></div>
</section>
<section id=""homeEdito1"">
<div class=""sectionInner"">
<h2 style=""text-align: center;"">Spécialistes en robotique industrielle, nous allons vous accompagner<br/>
dans vos projets d'automatisation de machines d'emballage.</h2>
<p style=""text-align: center;"">Vous pouvez compter sur notre savoir-faire dans le domaine de la machine spéciale.<br/>
<strong>Nous vous proposons une solution robotisée personnalisée, qui réponde parfaitement à votre besoin.</strong></p>
</div>
</section>
<section id=""homeProcesses"">
<div class=""sectionInner"">
<div data--100-center-top=""opacity: 1;"" data-200-center-top=""opacity: 0;"" data-end=""opacity: 1;"" data-start=""opacity: 0;"" id=""homeProcessesList"">
<div class=""process"">
<div class=""picture""><img alt=""Ligne de conditionnement robotisée"" src=""/media/processes1__057815300_1037_08112016.png""/>
</div>
<h3>Ligne de conditionnement robotisée</h3>
<div class=""description""><p>Conception et réalisation d'îlots robotisés<br/>
pouvant intégrer de la vision et du tracking.</p>
</div>
<div class=""linkmore""><a class=""LinkIn"" href=""/conditionnement-robotisee/"" hreflang=""fr"" title=""Ligne de conditionnement robotisée"">Voir</a></div>
</div>
<div class=""process"">
<div class=""picture""><img alt=""Equipements sur mesure"" src=""/media/processes2__052544300_1037_08112016.png""/>
</div>
<h3>Équipements sur mesure</h3>
<div class=""description""><p>Conception et réalisation<br/>
d'équipements sur mesure.<br/>
Livraison clé en main.</p>
</div>
<div class=""linkmore""><a class=""LinkIn"" href=""/equipements-sur-mesure/"" hreflang=""fr"" title=""Équipements sur mesure"">Voir</a></div>
</div>
<div class=""process"">
<div class=""picture""><img alt=""Accompagnement"" src=""/media/processes3__068636300_1037_08112016.png""/>
</div>
<h3>Accompagnement</h3>
<div class=""description""><p>Accompagnement « à la carte » dans toutes les phases de votre projet, de l'étude à la mise en production.</p>
</div>
<div class=""linkmore""><a class=""LinkIn"" href=""/accompagnement/"" hreflang=""fr"" title=""Accompagnement"">Voir</a></div>
</div>
</div>
</div>
</section>
<section data-bottom-top=""margin-top: 0px;"" data-end=""margin-top: -100px;"" data-start=""margin-top: 0px;"" data-top=""margin-top: -100px;"" id=""homeDomains"">
<div class=""sectionInner"">
<div class=""description""><h2 style=""text-align: center;"">Nous accompagnons nos clients dans toutes les phases<br/>
de leurs projets d'automatisation.</h2>
<p style=""text-align: center;"">De la conception d'un îlot robotisé jusqu'à la mise en service d'une ligne complète d'emballage, vous pouvez compter sur notre savoir-faire.<br/>
<br/>
<strong>Parmi les produits d'UNISTA vous allez trouver des solutions robotisées pour des nombreuses applications :<br/>
Redresseurs de flacons, machines d'encaissage robotisées, systèmes de palettisation et dépalettisation, lignes flexibles etc.</strong></p>
<p style=""text-align: center;""> </p>
<p style=""text-align: center;""> </p>
<h2 style=""text-align: center;"">NOS SECTEURS D'ACTIVITÉ :</h2>
</div>
<div id=""homeDomainsList"">
<div class=""homeDomain"" id=""homeDomain1"">
<div class=""title""><h3>Cosmétique</h3></div>
<div class=""picture""><img alt=""Cosmétique"" src=""/media/istock_66773065_small__047720400_1659_10112016.jpg""/>
</div>
</div>
<div class=""homeDomain"" id=""homeDomain2"">
<div class=""title""><h3>Automobile</h3></div>
<div class=""picture""><img alt=""Automobile"" src=""/media/istock_12469384_small__034639600_1658_10112016.jpg""/>
</div>
</div>
<div class=""homeDomain"" id=""homeDomain3"">
<div class=""title""><h3>Pharmaceutique</h3></div>
<div class=""picture""><img alt=""Pharmaceutique"" src=""/media/istock_73834629_small__055808800_1701_10112016.jpg""/>
</div>
</div>
<div class=""homeDomain"" id=""homeDomain4"">
<div class=""title""><h3>Agroalimentaire</h3></div>
<div class=""picture""><img alt=""Agroalimentaire"" src=""/media/istock_26834559_small__004111600_1659_10112016.jpg""/>
</div>
</div>
<div class=""homeDomain"" id=""homeDomain5"">
<div class=""title""><h3>Industrie</h3></div>
<div class=""picture""><img alt=""Industrie"" src=""/media/istock_56628688_small__029251200_1702_10112016.jpg""/>
</div>
</div>
<div class=""homeDomain"" id=""homeDomain6"">
<div class=""title""><h3>Produits d'entretien</h3></div>
<div class=""picture""></div>
</div>
<div class=""homeDomain"" id=""homeDomain7"">
<div class=""title""><h3>Autres secteurs</h3></div>
</div>
</div>
</div>
</section>
<section id=""homeEdito2"">
<div class=""sectionInner"">
<div class=""bg""></div>
<div class=""description"">
<div class=""picture"" data-400-center-top=""opacity: 0;"" data-center-top=""opacity: 1;"" data-end=""opacity: 1;"" data-start=""opacity: 0;""></div>
<div class=""text"" data-200-center-top=""right: 0px; opacity: 1;"" data-600-center-top=""right: -500px; opacity: 0;"" data-end=""right: 0px; opacity: 1;"" data-start=""right: -500px; opacity: 0;""><h2>Notre relation, rien de machinal.<br/>
<u>Notre capacité à vous comprendre vous étonnera toujours.</u></h2>
<p>Notre collaboration vous donne toutes les preuves, techniques et humaines, que vous avez fait le bon choix avec UNISTA. L'équipe dédiée à votre projet se met en quatre pour satisfaire vos exigences en termes de méthode et de qualité de travail. Nous vous démontrons au quotidien notre valeur ajoutée pour honorer votre confiance.</p>
</div>
</div>
<div class=""clear""></div>
</div>
<div class=""overline"" data-300-center=""margin-top: -500px;"" data-700-center=""margin-top: 0px;"" data-end=""margin-top: -500px;"" data-start=""margin-top: 0px;"" id=""overline4""></div>
</section>
<section id=""homeVideo"">
<video autoplay="""" data-bottom-top=""margin-top: -100px; margin-bottom: 0px;"" data-center=""margin-top: 0px; margin-bottom: 0px;"" data-end=""margin-top: 0px; margin-bottom: -100px;"" data-start=""margin-top: -100px; margin-bottom: 0px;"" data-top-bottom=""margin-top: 0px; margin-bottom: -100px;"" loop="""" muted="""" preload=""auto"">
<source src=""/images/videos/recadre_compressed.mp4"" type=""video/mp4""/>
</video>
<div class=""layer""></div>
<div class=""sectionInner"">
<div class=""text"" data-100-center-top=""left: 0px; opacity: 1;"" data-600-center-top=""left: -500px; opacity: 0;"" data-end=""left: 0px; opacity: 1;"" data-start=""left: -500px; opacity: 0;""><h2>Laissez-vous surprendre par des machines<br/>
<strong>avec beaucoup d'humain dedans !</strong></h2>
</div>
</div>
</section>
<section id=""homeEdito3"">
<div class=""sectionInner"">
<div class=""picture""><img alt=""Robot test grand"" src=""/media/robot2__005885600_1604_07112016.jpg""/>
</div>
<div class=""description"" data-100-center-top=""left: 0px; opacity: 1;"" data-600-center-top=""left: -500px; opacity: 0;"" data-end=""left: 0px; opacity: 1;"" data-start=""left: -500px; opacity: 0;"">
<h2>Laissez-vous surprendre par des machines<br/>
<u>avec beaucoup d'humain dedans !</u></h2>
<p>En tant que concepteur et fabricant de machines industrielles, la vocation d'UNISTA est d'apporter des solutions simples à des problématiques complexes. Nous choisir, c'est opter pour une conception unique et un investissement qui vous donnera toute satisfaction, grâce à des machines et des prestations de services sur mesure, alliant technologie et design.</p>
<div class=""linkmore""><a class=""LinkIn"" href=""/presentation/"" hreflang=""fr"" title=""Présentation"">Voir +</a></div>
</div>
<div class=""clear""></div>
</div>
<div class=""overline"" data--200-center=""margin-top: 0px;"" data--400-center=""margin-top: 0px;"" data--700-center=""margin-top: 500px;"" data-200-center=""margin-top: 300px;"" data-end=""margin-top: 500px;"" data-start=""margin-top: 300px;"" id=""overline5""></div>
<div class=""overline"" data-300-center=""margin-top: 0px;"" data-700-center=""margin-top: 200px;"" data-end=""margin-top: 0px;"" data-start=""margin-top: 200px;"" id=""overline6""></div>
</section>
<section data-bottom-top=""padding-top: 100px;"" data-start=""padding-top: 100px;"" data-top=""padding-top: 0px;"" id=""homeMethodSteps"">
<div class=""sectionInner"">
<h2 class=""title""><u>Les 6 étapes</u><br/>de notre méthodologie</h2>
<div class=""steps"">
<div class=""step"" data-250-center-top=""left: 0px; opacity: 1;"" data-500-center-top=""left: -500px; opacity: 0;"" data-end=""left: 0px; opacity: 1;"" data-start=""left: -500px; opacity: 0;"" id=""step1""><div class=""number"">1</div><h3>Écoute, partage d'expérience</h3>
<p>Chaque entreprise a son propre objectif et une approche produit particulière. Pour pouvoir vous proposer une solution personnalisée, nous faisons le maximum pour comprendre et répondre à vos besoins.</p>
</div>
<div class=""step"" data-250-center-top=""left: 0px; opacity: 1;"" data-500-center-top=""left: -500px; opacity: 0;"" data-end=""left: 0px; opacity: 1;"" data-start=""left: -500px; opacity: 0;"" id=""step2""><div class=""number"">2</div><h3>Propositions et développement</h3>
<p>Personne ne connaît votre ligne de production mieux que vous. Voilà pourquoi nous étudions attentivement tous les détails mis en avant par nos clients pour créer la solution d’emballage automatisée la plus appropriée.</p>
</div>
<div class=""step"" data-250-center-top=""left: 0px; opacity: 1;"" data-500-center-top=""left: -500px; opacity: 0;"" data-end=""left: 0px; opacity: 1;"" data-start=""left: -500px; opacity: 0;"" id=""step3""><div class=""number"">3</div><h3>Conception et réalisation</h3>
<p>L’étape suivante est la réalisation du projet. Le travail rigoureux de nos dessinateurs mécaniques, nos automaticiens et nos spécialistes d'assemblage nous permet de donner vie aux idées les plus ambitieuses de nos clients.</p>
</div>
<div class=""step"" data-250-center-top=""right: 0px; opacity: 1;"" data-500-center-top=""right: -500px; opacity: 0;"" data-end=""right: 0px; opacity: 1;"" data-start=""right: -500px; opacity: 0;"" id=""step4""><div class=""number"">4</div><h3>Mise en production</h3>
<p>L'implémentation d'une machine dans une ligne existante est une des étapes les plus importantes. Le savoir-faire de nos spécialistes vous garantira une installation et une mise en service irréprochable.</p>
</div>
<div class=""step"" data-250-center-top=""right: 0px; opacity: 1;"" data-500-center-top=""right: -500px; opacity: 0;"" data-end=""right: 0px; opacity: 1;"" data-start=""right: -500px; opacity: 0;"" id=""step5""><div class=""number"">5</div><h3>Formation</h3>
<p>Même le meilleur équipement est inutile si vos employés ne savent pas l’utiliser correctement. Nous vous proposons des formations pour améliorer les performances de votre ligne de conditionnement.</p>
</div>
<div class=""step"" data-250-center-top=""right: 0px; opacity: 1;"" data-500-center-top=""right: -500px; opacity: 0;"" data-end=""right: 0px; opacity: 1;"" data-start=""right: -500px; opacity: 0;"" id=""step6""><div class=""number"">6</div><h3>Accompagnement</h3>
<p>Vous souhaitez améliorer votre ligne de conditionnement ? Ou vous avez rencontré un problème ? Ne vous inquiétez pas ! Notre équipe de techniciens sera là pour vous aider. L'objectif principal de notre service client est de rendre le travail sur nos machines le plus agréable possible !</p>
</div>
</div>
</div>
</section>
</div>
</div>
</div></article>
<div id=""contentBoxes""></div>
</div>
</div>
</main>
</div>
<div class=""overline"" id=""overline1""></div>
</div>
<aside role=""secondary""><div class=""widget widgetText widgetContactHome"">
<div class=""widgetTitle""><span>Vous avez un projet ?</span></div>
<div class=""widgetContainer""><p><a class=""LinkIn"" href=""/nous-contacter/"" hreflang=""fr"" title=""Nous contacter"">Contact</a></p>
</div>
<div class=""widgetFooter""></div>
</div></aside>
<footer>
<div id=""footerLeft"">
<div class=""footerInner"">
<div class=""widget widgetText"">
<div class=""widgetTitle""><span>Adresse</span></div>
<div class=""widgetContainer""><p>3 rue Georges Clémenceau<br/>
85600 Treize Septiers</p>
<p> </p>
<p><strong>02 51 41 03 40</strong></p>
</div>
<div class=""widgetFooter""></div>
</div><div class=""widget widgetText widgetLiens"">
<div class=""widgetTitle""><span>Liens</span></div>
<div class=""widgetContainer""><p><a class=""LinkIn"" href=""/conditionnement-robotisee/"" hreflang=""fr"" title=""Ligne de conditionnement robotisée"">Ligne de conditionnement robotisée</a></p>
<p><a class=""LinkIn"" href=""/equipements-sur-mesure/"" hreflang=""fr"" title=""Équipements sur mesure"">Équipements sur mesure</a></p>
<p><a class=""LinkIn"" href=""/accompagnement/"" hreflang=""fr"" title=""Accompagnement"">Accompagnement</a></p>
<p><a class=""LinkIn"" href=""/nous-contacter/"" hreflang=""fr"" title=""Nous contacter"">Nous contacter</a></p>
<p> </p>
<p><span id=""fr""><a href=""/fr/"" hreflang=""fr"" title=""Version française"">Version française</a></span> <span id=""en""><a href=""/en/"" hreflang=""en"" title=""English version"">English version</a></span></p></div></div></div></div></footer></div></div></body>"
2,https://es-la.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
3,https://fr-fr.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
4,https://zh-cn.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
5,https://ar-ar.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
6,https://pt-br.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
7,https://ko-kr.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
8,https://it-it.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
9,https://de-de.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funista.france%2F,externe,
