,Words,Unista,JYGA,MG_Tech,Sidel,Total
0,unista,33.0,0.0,0.0,0.0,33.0
1,traire,2.0,4.0,0.0,5.0,11.0
2,union,1.0,0.0,0.0,2.0,3.0
3,entre,6.0,16.0,8.0,46.0,76.0
4,machine,84.0,124.0,78.0,122.0,408.0
5,lign,45.0,111.0,37.0,251.0,444.0
6,robotiser,27.0,63.0,5.0,6.0,101.0
7,équipemer,2.0,1.0,14.0,15.0,32.0
8,mesure,11.0,9.0,10.0,38.0,68.0
9,accompagnementl,1.0,0.0,0.0,0.0,1.0
10,automatisation,2.0,18.0,3.0,8.0,31.0
11,aboutissemer,1.0,0.0,0.0,0.0,1.0
12,intelligence,1.0,1.0,0.0,5.0,7.0
13,robotique,6.0,5.0,18.0,8.0,37.0
14,pouvoir,50.0,117.0,43.0,275.0,485.0
15,compter,5.0,0.0,1.0,6.0,12.0
16,savoir,8.0,19.0,18.0,72.0,117.0
17,faire,24.0,63.0,31.0,119.0,237.0
18,domaine,5.0,1.0,9.0,20.0,35.0
19,spécial,2.0,5.0,3.0,3.0,13.0
20,proposon,8.0,24.0,6.0,12.0,50.0
21,solution,41.0,190.0,69.0,327.0,627.0
22,personnaliser,5.0,7.0,16.0,17.0,45.0
23,répondre,11.0,83.0,35.0,93.0,222.0
24,parfaitement,10.0,6.0,16.0,35.0,67.0
25,réalisation,7.0,22.0,9.0,2.0,40.0
26,îlot,2.0,9.0,0.0,1.0,12.0
27,intégrer,2.0,37.0,12.0,76.0,127.0
28,vision,1.0,14.0,3.0,4.0,22.0
29,équipement,5.0,25.0,44.0,90.0,164.0
30,livraison,5.0,1.0,0.0,6.0,12.0
31,clé,4.0,7.0,2.0,23.0,36.0
32,carte,2.0,0.0,0.0,4.0,6.0
33,tout,30.0,106.0,69.0,395.0,600.0
34,phase,1.0,8.0,6.0,37.0,52.0
35,projet,9.0,68.0,28.0,64.0,169.0
36,étude,1.0,4.0,12.0,1.0,18.0
37,mise,4.0,26.0,11.0,9.0,50.0
38,conception,9.0,42.0,18.0,72.0,141.0
39,jusqu,7.0,12.0,12.0,47.0,78.0
40,service,10.0,13.0,39.0,112.0,174.0
41,ligne,18.0,83.0,21.0,117.0,239.0
42,complet,1.0,22.0,12.0,65.0,100.0
43,emballage,10.0,20.0,34.0,205.0,269.0
44,parmi,1.0,1.0,1.0,5.0,8.0
45,produit,13.0,71.0,24.0,115.0,223.0
46,aller,4.0,3.0,7.0,15.0,29.0
47,trouver,1.0,0.0,5.0,17.0,23.0
48,nombreux,2.0,7.0,3.0,30.0,42.0
49,applicatier,1.0,0.0,0.0,4.0,5.0
50,redresseur,27.0,0.0,0.0,0.0,27.0
51,flacon,35.0,11.0,4.0,8.0,58.0
52,encaissage,11.0,145.0,20.0,21.0,197.0
53,système,11.0,53.0,2.0,142.0,208.0
54,palettisation,8.0,129.0,36.0,29.0,202.0
55,dépalettisation,1.0,6.0,0.0,1.0,8.0
56,flexibler,1.0,0.0,0.0,0.0,1.0
57,etc,2.0,5.0,1.0,9.0,17.0
58,collaboration,1.0,3.0,2.0,22.0,28.0
59,donne,1.0,1.0,0.0,5.0,7.0
60,preuve,1.0,0.0,0.0,4.0,5.0
61,technique,2.0,23.0,12.0,30.0,67.0
62,humain,2.0,2.0,10.0,4.0,18.0
63,bon,4.0,9.0,9.0,26.0,48.0
64,choix,7.0,6.0,7.0,23.0,43.0
65,équipe,3.0,12.0,30.0,52.0,97.0
66,dédier,1.0,13.0,5.0,16.0,35.0
67,mettre,12.0,47.0,27.0,35.0,121.0
68,quatre,1.0,6.0,0.0,15.0,22.0
69,satisfair,2.0,0.0,0.0,5.0,7.0
70,exigence,2.0,6.0,5.0,29.0,42.0
71,terme,3.0,1.0,2.0,52.0,58.0
72,méthod,3.0,0.0,0.0,2.0,5.0
73,qualité,2.0,7.0,18.0,146.0,173.0
74,travail,4.0,5.0,15.0,14.0,38.0
75,démontron,1.0,0.0,0.0,0.0,1.0
76,quotidien,2.0,3.0,2.0,8.0,15.0
77,valeur,2.0,8.0,6.0,38.0,54.0
78,ajouter,4.0,8.0,3.0,12.0,27.0
79,honorer,1.0,0.0,0.0,0.0,1.0
80,tant,4.0,5.0,7.0,10.0,26.0
81,concepteur,2.0,3.0,2.0,0.0,7.0
82,fabricant,2.0,0.0,5.0,6.0,13.0
83,industriel,3.0,33.0,26.0,35.0,97.0
84,vocation,2.0,0.0,0.0,1.0,3.0
85,apporter,3.0,9.0,5.0,25.0,42.0
86,simple,11.0,9.0,12.0,28.0,60.0
87,problématique,3.0,8.0,7.0,2.0,20.0
88,complexe,2.0,3.0,2.0,9.0,16.0
89,choisir,2.0,3.0,3.0,15.0,23.0
90,être,26.0,77.0,34.0,119.0,256.0
91,opter,3.0,0.0,0.0,12.0,15.0
92,unique,3.0,4.0,4.0,26.0,37.0
93,investissement,2.0,2.0,0.0,13.0,17.0
94,donner,36.0,14.0,5.0,39.0,94.0
95,satisfaction,2.0,2.0,0.0,10.0,14.0
96,grâce,18.0,24.0,17.0,148.0,207.0
97,prestation,2.0,1.0,0.0,2.0,5.0
98,allier,2.0,1.0,3.0,6.0,12.0
99,technologie,4.0,13.0,1.0,141.0,159.0
100,entreprise,11.0,26.0,5.0,36.0,78.0
101,avoir,12.0,196.0,48.0,328.0,584.0
102,propre,2.0,2.0,5.0,5.0,14.0
103,objectif,2.0,14.0,9.0,54.0,79.0
104,approche,1.0,1.0,0.0,22.0,24.0
105,produire,36.0,171.0,47.0,279.0,533.0
106,particulière,1.0,0.0,0.0,1.0,2.0
107,proposer,11.0,28.0,23.0,76.0,138.0
108,maximum,2.0,0.0,1.0,3.0,6.0
109,comprendre,2.0,18.0,4.0,32.0,56.0
110,connaître,1.0,2.0,0.0,23.0,26.0
111,production,24.0,89.0,61.0,296.0,470.0
112,mieux,4.0,0.0,6.0,14.0,24.0
113,voilà,1.0,0.0,0.0,1.0,2.0
114,pourquoi,4.0,6.0,5.0,6.0,21.0
115,étudion,1.0,0.0,0.0,1.0,2.0
116,attentivement,1.0,0.0,0.0,0.0,1.0
117,détails,1.0,0.0,0.0,0.0,1.0
118,avant,1.0,17.0,10.0,27.0,55.0
119,client,5.0,11.0,35.0,74.0,125.0
120,créer,2.0,8.0,5.0,39.0,54.0
121,automatiser,6.0,23.0,4.0,16.0,49.0
122,plus,29.0,69.0,49.0,403.0,550.0
123,étape,5.0,4.0,0.0,86.0,95.0
124,suivant,2.0,12.0,2.0,5.0,21.0
125,rigoureux,1.0,0.0,0.0,5.0,6.0
126,dessinateur,1.0,0.0,2.0,0.0,3.0
127,mécanique,2.0,12.0,6.0,20.0,40.0
128,automaticien,1.0,0.0,2.0,0.0,3.0
129,spécialiste,5.0,1.0,6.0,6.0,18.0
130,assemblage,1.0,0.0,1.0,2.0,4.0
131,permettre,48.0,87.0,42.0,187.0,364.0
132,vie,2.0,1.0,1.0,36.0,40.0
133,idé,1.0,0.0,0.0,0.0,1.0
134,ambitieux,1.0,0.0,0.0,2.0,3.0
135,implémentation,1.0,0.0,0.0,0.0,1.0
136,existant,1.0,13.0,1.0,5.0,20.0
137,important,4.0,7.0,3.0,29.0,43.0
138,garantir,3.0,10.0,3.0,135.0,151.0
139,installation,1.0,60.0,9.0,18.0,88.0
140,meilleur,3.0,3.0,14.0,63.0,83.0
141,inutile,1.0,0.0,0.0,1.0,2.0
142,si,9.0,13.0,7.0,38.0,67.0
143,employé,1.0,0.0,0.0,3.0,4.0
144,utiliser,7.0,12.0,8.0,39.0,66.0
145,correctement,1.0,0.0,0.0,3.0,4.0
146,formation,2.0,7.0,10.0,38.0,57.0
147,améliorer,8.0,24.0,9.0,111.0,152.0
148,performance,3.0,36.0,5.0,186.0,230.0
149,souhaitez,1.0,0.0,2.0,7.0,10.0
150,conditionnement,33.0,71.0,32.0,80.0,216.0
151,rencontrer,1.0,2.0,0.0,5.0,8.0
152,problèm,1.0,0.0,1.0,0.0,2.0
153,inquiéter,1.0,0.0,0.0,0.0,1.0
154,techniciens,1.0,0.0,1.0,1.0,3.0
155,là,6.0,0.0,0.0,7.0,13.0
156,aider,1.0,2.0,3.0,20.0,26.0
157,principal,1.0,2.0,2.0,18.0,23.0
158,rendre,8.0,3.0,2.0,10.0,23.0
159,agréable,1.0,0.0,0.0,2.0,3.0
160,possible,3.0,12.0,5.0,42.0,62.0
161,contact,7.0,5.0,2.0,45.0,59.0
162,rue,25.0,132.0,0.0,0.0,157.0
163,georges,24.0,0.0,0.0,0.0,24.0
164,clémenceau,24.0,0.0,0.0,0.0,24.0
165,treize,23.0,0.0,0.0,0.0,23.0
166,septier,23.0,0.0,0.0,0.0,23.0
167,robotiséeéquipement,20.0,0.0,0.0,0.0,20.0
168,mesureaccompagnementnou,20.0,0.0,0.0,0.0,20.0
169,contacter,20.0,28.0,2.0,28.0,78.0
170,version,21.0,0.0,7.0,18.0,46.0
171,français,20.0,27.0,6.0,8.0,61.0
172,english,20.0,0.0,0.0,0.0,20.0
173,versionmachine,3.0,0.0,0.0,0.0,3.0
174,standard,2.0,21.0,6.0,26.0,55.0
175,changement,40.0,14.0,12.0,60.0,126.0
176,série,21.0,1.0,1.0,2.0,25.0
177,facilepour,1.0,0.0,0.0,0.0,1.0
178,bénéficier,6.0,1.0,0.0,48.0,55.0
179,fixation,1.0,0.0,0.0,0.0,1.0
180,objet,8.0,4.0,0.0,3.0,15.0
181,thermoforméssolution,1.0,0.0,0.0,0.0,1.0
182,innovativ,1.0,0.0,0.0,1.0,2.0
183,économiser,5.0,0.0,0.0,8.0,13.0
184,espac,4.0,6.0,4.0,15.0,29.0
185,site,33.0,41.0,34.0,96.0,204.0
186,productionconvoyeur,1.0,0.0,0.0,0.0,1.0
