,Words,Unista,JYGA,MG_Tech,Sidel,Total,No,Mots-clés,Volume,Position,Visites est.,URL,Difficulté SEO,flag
0,encaissage,11.0,145.0,20.0,21.0,197.0,54,encaissage,140,8,3,http://jyga.fr/encaisseuse-robotisee,37,jyga
1,encaissage,11.0,145.0,20.0,21.0,197.0,48,encaissage,140,48,0,http://mg-tech.fr/nos-solutions/id-pack/my-modulo-encaisseuses-multiformats/16-my-modulo.html,37,mg-tech
2,encaissage,11.0,145.0,20.0,21.0,197.0,18,encaissage,140,9,2,http://unista.fr/conditionnement-robotisee/encaissage-et-palettisation/,37,unista
3,palettisation,8.0,129.0,36.0,29.0,202.0,5,palettisation,2400,16,1,http://jyga.fr/robot-palettiseur,33,jyga
4,palettisation,8.0,129.0,36.0,29.0,202.0,6,palettisation,2400,61,0,http://sidel.com/fr/palettisation/palettisation/palettisation-par-prehension-pour-casiers-plastique-pd-435,33,sidel
5,bouchage,4.0,0.0,0.0,16.0,20.0,2,bouchage,480,64,0,http://unista.fr/conditionnement-robotisee/machine-de-bouchage/,32,unista
6,chargement,1.0,67.0,7.0,2.0,77.0,3,chargement,5400,63,0,http://jyga.fr/chargement-robotise/chargement-automatique-thermoformeuse,33,jyga
7,palettiseur,2.0,81.0,12.0,23.0,118.0,8,palettiseur,1600,1,486,http://jyga.fr/robot-palettiseur,34,jyga
8,palettiseur,2.0,81.0,12.0,23.0,118.0,2,palettiseur,1600,36,0,http://mg-tech.fr/nos-solutions/mg-tech-angers/26-palettiseur.html,34,mg-tech
9,palettiseur,2.0,81.0,12.0,23.0,118.0,7,palettiseur,1600,9,24,http://sidel.com/fr/palettisation/palettisation/palettiseur-automatique-a-couches-pd-429,34,sidel
10,encaisseuse,3.0,49.0,15.0,4.0,71.0,53,encaisseuse,140,2,23,http://jyga.fr/encaisseuse-robotisee,37,jyga
11,encaisseuse,3.0,49.0,15.0,4.0,71.0,47,encaisseuse,140,34,0,http://mg-tech.fr/nos-solutions/mg-tech-angers/19-encaisseuse-wrap.html,37,mg-tech
12,encaisseuse,3.0,49.0,15.0,4.0,71.0,17,encaisseuse,140,4,9,http://unista.fr/conditionnement-robotisee/encaissage-et-palettisation/,37,unista
13,boucheuse,1.0,0.0,0.0,2.0,3.0,12,boucheuse,210,79,0,http://unista.fr/conditionnement-robotisee/machine-de-bouchage/,61,unista
14,dépalettiseur,2.0,9.0,0.0,5.0,16.0,48,dépalettiseur,170,39,0,http://jyga.fr/robot-palettiseur/depalettiseur-automatique,34,jyga
15,étuyeuse,1.0,26.0,8.0,0.0,35.0,26,étuyeuse,320,3,31,http://jyga.fr/etuyeuse-automatique,38,jyga
16,étuyeuse,1.0,26.0,8.0,0.0,35.0,16,étuyeuse,320,21,0,http://mg-tech.fr/nos-solutions/mg-tech-angers/20-etuyeuse.html,38,mg-tech
17,étuyeuse,1.0,26.0,8.0,0.0,35.0,8,étuyeuse,320,16,0,http://unista.fr/equipements-sur-mesure/etuyeuse/,38,unista
18,jyga,0.0,362.0,0.0,0.0,362.0,50,jyga,170,1,52,http://jyga.fr/,31,jyga
19,flowpack,0.0,17.0,4.0,0.0,21.0,18,flowpack,590,32,0,http://jyga.fr/chargement-robotise/chargement-machine-flow-pack,38,jyga
